; Buckwalter Arabic Lexicon -- Version Date: April 2009				
; Copyright (c) 2000-2009 QAMUS LLC (www.qamus.org)				
		Pref-0		
wmAt	wamAtu	IVPref-Anti-tu	and + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
fmAt	famAta	IVPref-Anti-ta	and/so + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
fmAt	famAtu	IVPref-Anti-tu	and/so + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
t	ta	IVPref-Antm-ta	you [PL]	SUBJ:2MP
t	tu	IVPref-Antm-tu	you [PL]	SUBJ:2MP
wt	wata	IVPref-Antm-ta	and + you [PL]	CONJ + SUBJ:2MP
wt	watu	IVPref-Antm-tu	and + you [PL]	CONJ + SUBJ:2MP
ft	fata	IVPref-Antm-ta	and/so + you [PL]	CONJ + SUBJ:2MP
ft	fatu	IVPref-Antm-tu	and/so + you [PL]	CONJ + SUBJ:2MP
st	sata	IVPref-Antm-ta	will + you [PL]	FUT + SUBJ:2MP
st	satu	IVPref-Antm-tu	will + you [PL]	FUT + SUBJ:2MP
wst	wasata	IVPref-Antm-ta	and + will + you [PL]	CONJ + FUT + SUBJ:2MP
wst	wasatu	IVPref-Antm-tu	and + will + you [PL]	CONJ + FUT + SUBJ:2MP
fst	fasata	IVPref-Antm-ta	and/so + will + you [PL]	CONJ + FUT + SUBJ:2MP
fst	fasatu	IVPref-Antm-tu	and/so + will + you [PL]	CONJ + FUT + SUBJ:2MP
lAt	lAta	IVPref-Antm-ta	not + you [PL]	NEG_PART + SUBJ:2MP
lAt	lAtu	IVPref-Antm-tu	not + you [PL]	NEG_PART + SUBJ:2MP
wlAt	walAta	IVPref-Antm-ta	and + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
wlAt	walAtu	IVPref-Antm-tu	and + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
flAt	falAta	IVPref-Antm-ta	and/so + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
flAt	falAtu	IVPref-Antm-tu	and/so + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
mAt	mAta	IVPref-Antm-ta	not + you [PL]	NEG_PART + SUBJ:2MP
mAt	mAtu	IVPref-Antm-tu	not + you [PL]	NEG_PART + SUBJ:2MP
wmAt	wamAta	IVPref-Antm-ta	and + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
wmAt	wamAtu	IVPref-Antm-tu	and + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
fmAt	famAta	IVPref-Antm-ta	and/so + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
fmAt	famAtu	IVPref-Antm-tu	and/so + not + you [PL]	CONJ + NEG_PART + SUBJ:2MP
t	ta	IVPref-Antn-ta	you [FEM PL]	SUBJ:2FP
t	tu	IVPref-Antn-tu	you [FEM PL]	SUBJ:2FP
wt	wata	IVPref-Antn-ta	and + you [FEM PL]	CONJ + SUBJ:2FP
wt	watu	IVPref-Antn-tu	and + you [FEM PL]	CONJ + SUBJ:2FP
ft	fata	IVPref-Antn-ta	and/so + you [FEM PL]	CONJ + SUBJ:2FP
ft	fatu	IVPref-Antn-tu	and/so + you [FEM PL]	CONJ + SUBJ:2FP
st	sata	IVPref-Antn-ta	will + you [FEM PL]	FUT + SUBJ:2FP
st	satu	IVPref-Antn-tu	will + you [FEM PL]	FUT + SUBJ:2FP
wst	wasata	IVPref-Antn-ta	and + will + you [FEM PL]	CONJ + FUT + SUBJ:2FP
wst	wasatu	IVPref-Antn-tu	and + will + you [FEM PL]	CONJ + FUT + SUBJ:2FP
fst	fasata	IVPref-Antn-ta	and/so + will + you [FEM PL]	CONJ + FUT + SUBJ:2FP
fst	fasatu	IVPref-Antn-tu	and/so + will + you [FEM PL]	CONJ + FUT + SUBJ:2FP
lAt	lAta	IVPref-Antn-ta	not + you [FEM PL]	NEG_PART + SUBJ:2FP
lAt	lAtu	IVPref-Antn-tu	not + you [FEM PL]	NEG_PART + SUBJ:2FP
wlAt	walAta	IVPref-Antn-ta	and + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
wlAt	walAtu	IVPref-Antn-tu	and + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
flAt	falAta	IVPref-Antn-ta	and/so + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
flAt	falAtu	IVPref-Antn-tu	and/so + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
mAt	mAta	IVPref-Antn-ta	not + you [FEM PL]	NEG_PART + SUBJ:2FP
mAt	mAtu	IVPref-Antn-tu	not + you [FEM PL]	NEG_PART + SUBJ:2FP
wmAt	wamAta	IVPref-Antn-ta	and + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
wmAt	wamAtu	IVPref-Antn-tu	and + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
fmAt	famAta	IVPref-Antn-ta	and/so + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
fmAt	famAtu	IVPref-Antn-tu	and/so + not + you [FEM PL]	CONJ + NEG_PART + SUBJ:2FP
lt	lita	IVPref-hy-lita	for + her/it/them to	SUB + SUBJ:3FS
lt	litu	IVPref-hy-litu	for + her/it/them to	SUB + SUBJ:3FS
wlt	walita	IVPref-hy-lita	and + for + her/it/them to	CONJ + SUB + SUBJ:3FS
wlt	walitu	IVPref-hy-litu	and + for + her/it/them to	CONJ + SUB + SUBJ:3FS
flt	falita	IVPref-hy-lita	and/so + for + her/it/them to	CONJ + SUB + SUBJ:3FS
flt	falitu	IVPref-hy-litu	and/so + for + her/it/them to	CONJ + SUB + SUBJ:3FS
lt	lita	IVPref-Anta-lita	for + you [MASC SG] to	SUB + SUBJ:2MS
lt	litu	IVPref-Anta-litu	for + you [MASC SG] to	SUB + SUBJ:2MS
wlt	walita	IVPref-Anta-lita	and + for + you [MASC SG] to	CONJ + SUB + SUBJ:2MS
wlt	walitu	IVPref-Anta-litu	and + for + you [MASC SG] to	CONJ + SUB + SUBJ:2MS
flt	falita	IVPref-Anta-lita	and/so + for + you [MASC SG] to	CONJ + SUB + SUBJ:2MS
flt	falitu	IVPref-Anta-litu	and/so + for + you [MASC SG] to	CONJ + SUB + SUBJ:2MS
lt	lita	IVPref-AntmA-lita	for + you [DU] to	SUB + SUBJ:2D
lt	litu	IVPref-AntmA-litu	for + you [DU] to	SUB + SUBJ:2D
wlt	walita	IVPref-AntmA-lita	and + for + you [DU] to	CONJ + SUB + SUBJ:2D
wlt	walitu	IVPref-AntmA-litu	and + for + you [DU] to	CONJ + SUB + SUBJ:2D
flt	falita	IVPref-AntmA-lita	and/so + for + you [DU] to	CONJ + SUB + SUBJ:2D
flt	falitu	IVPref-AntmA-litu	and/so + for + you [DU] to	CONJ + SUB + SUBJ:2D
lt	lita	IVPref-hmA-lita	for + them [DU] [FEM DU] to	SUB + SUBJ:3FD
lt	litu	IVPref-hmA-litu	for + them [DU] [FEM DU] to	SUB + SUBJ:3FD
wlt	walita	IVPref-hmA-lita	and + for + them [DU] [FEM DU] to	CONJ + SUB + SUBJ:3FD
wlt	walitu	IVPref-hmA-litu	and + for + them [DU] [FEM DU] to	CONJ + SUB + SUBJ:3FD
flt	falita	IVPref-hmA-lita	and/so + for + them [DU] [FEM DU] to	CONJ + SUB + SUBJ:3FD
flt	falitu	IVPref-hmA-litu	and/so + for + them [DU] [FEM DU] to	CONJ + SUB + SUBJ:3FD
lt	lita	IVPref-Anti-lita	for + you [FEM SG] to	SUB + SUBJ:2FS
lt	litu	IVPref-Anti-litu	for + you [FEM SG] to	SUB + SUBJ:2FS
wlt	walita	IVPref-Anti-lita	and + for + you [FEM SG] to	CONJ + SUB + SUBJ:2FS
wlt	walitu	IVPref-Anti-litu	and + for + you [FEM SG] to	CONJ + SUB + SUBJ:2FS
flt	falita	IVPref-Anti-lita	and/so + for + you [FEM SG] to	CONJ + SUB + SUBJ:2FS
flt	falitu	IVPref-Anti-litu	and/so + for + you [FEM SG] to	CONJ + SUB + SUBJ:2FS
lt	lita	IVPref-Antm-lita	for + you [PL] to	SUB + SUBJ:2MP
lt	litu	IVPref-Antm-litu	for + you [PL] to	SUB + SUBJ:2MP
wlt	walita	IVPref-Antm-lita	and + for + you [PL] to	CONJ + SUB + SUBJ:2MP
wlt	walitu	IVPref-Antm-litu	and + for + you [PL] to	CONJ + SUB + SUBJ:2MP
flt	falita	IVPref-Antm-lita	and/so + for + you [PL] to	CONJ + SUB + SUBJ:2MP
flt	falitu	IVPref-Antm-litu	and/so + for + you [PL] to	CONJ + SUB + SUBJ:2MP
lt	lita	IVPref-Antn-lita	for + you [FEM PL] to	SUB + SUBJ:2FP
lt	litu	IVPref-Antn-litu	for + you [FEM PL] to	SUB + SUBJ:2FP
wlt	walita	IVPref-Antn-lita	and + for + you [FEM PL] to	CONJ + SUB + SUBJ:2FP
wlt	walitu	IVPref-Antn-litu	and + for + you [FEM PL] to	CONJ + SUB + SUBJ:2FP
flt	falita	IVPref-Antn-lita	and/so + for + you [FEM PL] to	CONJ + SUB + SUBJ:2FP
flt	falitu	IVPref-Antn-litu	and/so + for + you [FEM PL] to	CONJ + SUB + SUBJ:2FP
lt	lita	IVPref-hy-lita_jus	let + her/it/them	JUS + SUBJ:3FS
lt	litu	IVPref-hy-litu_jus	let + her/it/them	JUS + SUBJ:3FS
wlt	walota	IVPref-hy-lita_jus	and + let + her/it/them	CONJ + JUS + SUBJ:3FS
wlt	walotu	IVPref-hy-litu_jus	and + let + her/it/them	CONJ + JUS + SUBJ:3FS
flt	falota	IVPref-hy-lita_jus	and/so + let + her/it/them	CONJ + JUS + SUBJ:3FS
flt	falotu	IVPref-hy-litu_jus	and/so + let + her/it/them	CONJ + JUS + SUBJ:3FS
lt	lita	IVPref-Anta-lita_jus	let + you [MASC SG]	JUS + SUBJ:2MS
lt	litu	IVPref-Anta-litu_jus	let + you [MASC SG]	JUS + SUBJ:2MS
wlt	walota	IVPref-Anta-lita_jus	and + let + you [MASC SG]	CONJ + JUS + SUBJ:2MS
wlt	walotu	IVPref-Anta-litu_jus	and + let + you [MASC SG]	CONJ + JUS + SUBJ:2MS
flt	falota	IVPref-Anta-lita_jus	and/so + let + you [MASC SG]	CONJ + JUS + SUBJ:2MS
flt	falotu	IVPref-Anta-litu_jus	and/so + let + you [MASC SG]	CONJ + JUS + SUBJ:2MS
lt	lita	IVPref-AntmA-lita_jus	let + you [DU]	JUS + SUBJ:2D
lt	litu	IVPref-AntmA-litu_jus	let + you [DU]	JUS + SUBJ:2D
wlt	walota	IVPref-AntmA-lita_jus	and + let + you [DU]	CONJ + JUS + SUBJ:2D
wlt	walotu	IVPref-AntmA-litu_jus	and + let + you [DU]	CONJ + JUS + SUBJ:2D
flt	falota	IVPref-AntmA-lita_jus	and/so + let + you [DU]	CONJ + JUS + SUBJ:2D
flt	falotu	IVPref-AntmA-litu_jus	and/so + let + you [DU]	CONJ + JUS + SUBJ:2D
lt	lita	IVPref-hmA-lita_jus	let + them [DU] [FEM DU]	JUS + SUBJ:3FD
lt	litu	IVPref-hmA-litu_jus	let + them [DU] [FEM DU]	JUS + SUBJ:3FD
wlt	walota	IVPref-hmA-lita_jus	and + let + them [DU] [FEM DU]	CONJ + JUS + SUBJ:3FD
wlt	walotu	IVPref-hmA-litu_jus	and + let + them [DU] [FEM DU]	CONJ + JUS + SUBJ:3FD
flt	falota	IVPref-hmA-lita_jus	and/so + let + them [DU] [FEM DU]	CONJ + JUS + SUBJ:3FD
flt	falotu	IVPref-hmA-litu_jus	and/so + let + them [DU] [FEM DU]	CONJ + JUS + SUBJ:3FD
lt	lita	IVPref-Anti-lita_jus	let + you [FEM SG]	JUS + SUBJ:2FS
lt	litu	IVPref-Anti-litu_jus	let + you [FEM SG]	JUS + SUBJ:2FS
wlt	walota	IVPref-Anti-lita_jus	and + let + you [FEM SG]	CONJ + JUS + SUBJ:2FS
wlt	walotu	IVPref-Anti-litu_jus	and + let + you [FEM SG]	CONJ + JUS + SUBJ:2FS
flt	falota	IVPref-Anti-lita_jus	and/so + let + you [FEM SG]	CONJ + JUS + SUBJ:2FS
flt	falotu	IVPref-Anti-litu_jus	and/so + let + you [FEM SG]	CONJ + JUS + SUBJ:2FS
lt	lita	IVPref-Antm-lita_jus	let + you [PL]	JUS + SUBJ:2MP
lt	litu	IVPref-Antm-litu_jus	let + you [PL]	JUS + SUBJ:2MP
wlt	walota	IVPref-Antm-lita_jus	and + let + you [PL]	CONJ + JUS + SUBJ:2MP
wlt	walotu	IVPref-Antm-litu_jus	and + let + you [PL]	CONJ + JUS + SUBJ:2MP
flt	falota	IVPref-Antm-lita_jus	and/so + let + you [PL]	CONJ + JUS + SUBJ:2MP
flt	falotu	IVPref-Antm-litu_jus	and/so + let + you [PL]	CONJ + JUS + SUBJ:2MP
lt	lita	IVPref-Antn-lita_jus	let + you [FEM PL]	JUS + SUBJ:2FP
lt	litu	IVPref-Antn-litu_jus	let + you [FEM PL]	JUS + SUBJ:2FP
wlt	walota	IVPref-Antn-lita_jus	and + let + you [FEM PL]	CONJ + JUS + SUBJ:2FP
wlt	walotu	IVPref-Antn-litu_jus	and + let + you [FEM PL]	CONJ + JUS + SUBJ:2FP
flt	falota	IVPref-Antn-lita_jus	and/so + let + you [FEM PL]	CONJ + JUS + SUBJ:2FP
flt	falotu	IVPref-Antn-litu_jus	and/so + let + you [FEM PL]	CONJ + JUS + SUBJ:2FP
O	Oa	IVPref-AnA->a	I	SUBJ:1S
A	Oa	IVPref-AnA->a	I	SUBJ:1S
O	Ou	IVPref-AnA->u	I	SUBJ:1S
A	Ou	IVPref-AnA->u	I	SUBJ:1S
wO	waOa	IVPref-AnA->a	and + I	CONJ + SUBJ:1S
wO	waOu	IVPref-AnA->u	and + I	CONJ + SUBJ:1S
fO	faOa	IVPref-AnA->a	and/so + I	CONJ + SUBJ:1S
fO	faOu	IVPref-AnA->u	and/so + I	CONJ + SUBJ:1S
sO	saOa	IVPref-AnA->a	will + I	FUT + SUBJ:1S
sO	saOu	IVPref-AnA->u	will + I	FUT + SUBJ:1S
wsO	wasaOa	IVPref-AnA->a	and + will + I	CONJ + FUT + SUBJ:1S
wsO	wasaOu	IVPref-AnA->u	and + will + I	CONJ + FUT + SUBJ:1S
fsO	fasaOa	IVPref-AnA->a	and/so + will + I	CONJ + FUT + SUBJ:1S
fsO	fasaOu	IVPref-AnA->u	and/so + will + I	CONJ + FUT + SUBJ:1S
lAO	lAOa	IVPref-AnA->a	not + I	NEG_PART + SUBJ:1S
lAO	lAOu	IVPref-AnA->u	not + I	NEG_PART + SUBJ:1S
wlAO	walAOa	IVPref-AnA->a	and + not + I	CONJ + NEG_PART + SUBJ:1S
wlAO	walAOu	IVPref-AnA->u	and + not + I	CONJ + NEG_PART + SUBJ:1S
flAO	falAOa	IVPref-AnA->a	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
flAO	falAOu	IVPref-AnA->u	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
mAO	mAOa	IVPref-AnA->a	not + I	NEG_PART + SUBJ:1S
mAO	mAOu	IVPref-AnA->u	not + I	NEG_PART + SUBJ:1S
wmAO	wamAOa	IVPref-AnA->a	and + not + I	CONJ + NEG_PART + SUBJ:1S
wmAO	wamAOu	IVPref-AnA->u	and + not + I	CONJ + NEG_PART + SUBJ:1S
fmAO	famAOa	IVPref-AnA->a	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
fmAO	famAOu	IVPref-AnA->u	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
wA	waOa	IVPref-AnA->a	and + I	CONJ + SUBJ:1S
wA	waOu	IVPref-AnA->u	and + I	CONJ + SUBJ:1S
fA	faOa	IVPref-AnA->a	and/so + I	CONJ + SUBJ:1S
fA	faOu	IVPref-AnA->u	and/so + I	CONJ + SUBJ:1S
sA	saOa	IVPref-AnA->a	will + I	FUT + SUBJ:1S
sA	saOu	IVPref-AnA->u	will + I	FUT + SUBJ:1S
wsA	wasaOa	IVPref-AnA->a	and + will + I	CONJ + FUT + SUBJ:1S
wsA	wasaOu	IVPref-AnA->u	and + will + I	CONJ + FUT + SUBJ:1S
fsA	fasaOa	IVPref-AnA->a	and/so + will + I	CONJ + FUT + SUBJ:1S
fsA	fasaOu	IVPref-AnA->u	and/so + will + I	CONJ + FUT + SUBJ:1S
lAA	lAOa	IVPref-AnA->a	not + I	NEG_PART + SUBJ:1S
lAA	lAOu	IVPref-AnA->u	not + I	NEG_PART + SUBJ:1S
wlAA	walAOa	IVPref-AnA->a	and + not + I	CONJ + NEG_PART + SUBJ:1S
wlAA	walAOu	IVPref-AnA->u	and + not + I	CONJ + NEG_PART + SUBJ:1S
flAA	falAOa	IVPref-AnA->a	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
flAA	falAOu	IVPref-AnA->u	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
mAA	mAOa	IVPref-AnA->a	not + I	NEG_PART + SUBJ:1S
mAA	mAOu	IVPref-AnA->u	not + I	NEG_PART + SUBJ:1S
wmAA	wamAOa	IVPref-AnA->a	and + not + I	CONJ + NEG_PART + SUBJ:1S
wmAA	wamAOu	IVPref-AnA->u	and + not + I	CONJ + NEG_PART + SUBJ:1S
fmAA	famAOa	IVPref-AnA->a	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
fmAA	famAOu	IVPref-AnA->u	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
|	|	IVPref-AnA-|	I	SUBJ:1S
A	|	IVPref-AnA-|	I	SUBJ:1S
w|	wa|	IVPref-AnA-|	and + I	CONJ + SUBJ:1S
f|	fa|	IVPref-AnA-|	and/so + I	CONJ + SUBJ:1S
s|	sa|	IVPref-AnA-|	will + I	FUT + SUBJ:1S
ws|	wasa|	IVPref-AnA-|	and + will + I	CONJ + FUT + SUBJ:1S
fs|	fasa|	IVPref-AnA-|	and/so + will + I	CONJ + FUT + SUBJ:1S
lA|	lA|	IVPref-AnA-|	not + I	NEG_PART + SUBJ:1S
wlA|	walA|	IVPref-AnA-|	and + not + I	CONJ + NEG_PART + SUBJ:1S
flA|	falA|	IVPref-AnA-|	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
mA|	mA|	IVPref-AnA-|	not + I	NEG_PART + SUBJ:1S
wmA|	wamA|	IVPref-AnA-|	and + not + I	CONJ + NEG_PART + SUBJ:1S
fmA|	famA|	IVPref-AnA-|	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
wA	wa|	IVPref-AnA-|	and + I	CONJ + SUBJ:1S
fA	fa|	IVPref-AnA-|	and/so + I	CONJ + SUBJ:1S
sA	sa|	IVPref-AnA-|	will + I	FUT + SUBJ:1S
wsA	wasa|	IVPref-AnA-|	and + will + I	CONJ + FUT + SUBJ:1S
fsA	fasa|	IVPref-AnA-|	and/so + will + I	CONJ + FUT + SUBJ:1S
lAA	lA|	IVPref-AnA-|	not + I	NEG_PART + SUBJ:1S
wlAA	walA|	IVPref-AnA-|	and + not + I	CONJ + NEG_PART + SUBJ:1S
flAA	falA|	IVPref-AnA-|	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
mAA	mA|	IVPref-AnA-|	not + I	NEG_PART + SUBJ:1S
wmAA	wamA|	IVPref-AnA-|	and + not + I	CONJ + NEG_PART + SUBJ:1S
fmAA	famA|	IVPref-AnA-|	and/so + not + I	CONJ + NEG_PART + SUBJ:1S
lO	liOa	IVPref-AnA-li>a	for + me to	SUB + SUBJ:1S
lO	liOu	IVPref-AnA-li>u	for + me to	SUB + SUBJ:1S
wlO	waliOa	IVPref-AnA-li>a	and + for + me to	CONJ + SUB + SUBJ:1S
wlO	waliOu	IVPref-AnA-li>u	and + for + me to	CONJ + SUB + SUBJ:1S
flO	faliOa	IVPref-AnA-li>a	and/so + for + me to	CONJ + SUB + SUBJ:1S
flO	faliOu	IVPref-AnA-li>u	and/so + for + me to	CONJ + SUB + SUBJ:1S
lA	liOa	IVPref-AnA-li>a	for + me to	SUB + SUBJ:1S
lA	liOu	IVPref-AnA-li>u	for + me to	SUB + SUBJ:1S
wlA	waliOa	IVPref-AnA-li>a	and + for + me to	CONJ + SUB + SUBJ:1S
wlA	waliOu	IVPref-AnA-li>u	and + for + me to	CONJ + SUB + SUBJ:1S
flA	faliOa	IVPref-AnA-li>a	and/so + for + me to	CONJ + SUB + SUBJ:1S
flA	faliOu	IVPref-AnA-li>u	and/so + for + me to	CONJ + SUB + SUBJ:1S
l|	li|	IVPref-AnA-li|	for + me to	SUB + SUBJ:1S
wl|	wali|	IVPref-AnA-li|	and + for + me to	CONJ + SUB + SUBJ:1S
fl|	fali|	IVPref-AnA-li|	and/so + for + me to	CONJ + SUB + SUBJ:1S
lA	li|	IVPref-AnA-li|	for + me to	SUB + SUBJ:1S
wlA	wali|	IVPref-AnA-li|	and + for + me to	CONJ + SUB + SUBJ:1S
flA	fali|	IVPref-AnA-li|	and/so + for + me to	CONJ + SUB + SUBJ:1S
n	na	IVPref-nHn-na	we	SUBJ:1P
n	nu	IVPref-nHn-nu	we	SUBJ:1P
wn	wana	IVPref-nHn-na	and + we	CONJ + SUBJ:1P
wn	wanu	IVPref-nHn-nu	and + we	CONJ + SUBJ:1P
fn	fana	IVPref-nHn-na	and/so + we	CONJ + SUBJ:1P
fn	fanu	IVPref-nHn-nu	and/so + we	CONJ + SUBJ:1P
sn	sana	IVPref-nHn-na	will + we	FUT + SUBJ:1P
sn	sanu	IVPref-nHn-nu	will + we	FUT + SUBJ:1P
wsn	wasana	IVPref-nHn-na	and + will + we	CONJ + FUT + SUBJ:1P
wsn	wasanu	IVPref-nHn-nu	and + will + we	CONJ + FUT + SUBJ:1P
fsn	fasana	IVPref-nHn-na	and/so + will + we	CONJ + FUT + SUBJ:1P
fsn	fasanu	IVPref-nHn-nu	and/so + will + we	CONJ + FUT + SUBJ:1P
lAn	lAna	IVPref-nHn-na	not + we	NEG_PART + SUBJ:1P
lAn	lAnu	IVPref-nHn-nu	not + we	NEG_PART + SUBJ:1P
wlAn	walAna	IVPref-nHn-na	and + not + we	CONJ + NEG_PART + SUBJ:1P
wlAn	walAnu	IVPref-nHn-nu	and + not + we	CONJ + NEG_PART + SUBJ:1P
flAn	falAna	IVPref-nHn-na	and/so + not + we	CONJ + NEG_PART + SUBJ:1P
flAn	falAnu	IVPref-nHn-nu	and/so + not + we	CONJ + NEG_PART + SUBJ:1P
mAn	mAna	IVPref-nHn-na	not + we	NEG_PART + SUBJ:1P
mAn	mAnu	IVPref-nHn-nu	not + we	NEG_PART + SUBJ:1P
wmAn	wamAna	IVPref-nHn-na	and + not + we	CONJ + NEG_PART + SUBJ:1P
wmAn	wamAnu	IVPref-nHn-nu	and + not + we	CONJ + NEG_PART + SUBJ:1P
fmAn	famAna	IVPref-nHn-na	and/so + not + we	CONJ + NEG_PART + SUBJ:1P
fmAn	famAnu	IVPref-nHn-nu	and/so + not + we	CONJ + NEG_PART + SUBJ:1P
ln	lina	IVPref-nHn-lina	for + us to	SUB + SUBJ:1P
ln	linu	IVPref-nHn-linu	for + us to	SUB + SUBJ:1P
wln	walina	IVPref-nHn-lina	and + for + us to	CONJ + SUB + SUBJ:1P
wln	walinu	IVPref-nHn-linu	and + for + us to	CONJ + SUB + SUBJ:1P
fln	falina	IVPref-nHn-lina	and/so + for + us to	CONJ + SUB + SUBJ:1P
fln	falinu	IVPref-nHn-linu	and/so + for + us to	CONJ + SUB + SUBJ:1P
ln	lina	IVPref-nHn-lina_jus	let + us	JUS + SUBJ:1P
ln	linu	IVPref-nHn-linu_jus	let + us	JUS + SUBJ:1P
wln	walona	IVPref-nHn-lina_jus	and + let + us	CONJ + JUS + SUBJ:1P
wln	walonu	IVPref-nHn-linu_jus	and + let + us	CONJ + JUS + SUBJ:1P
fln	falona	IVPref-nHn-lina_jus	and/so + let + us	CONJ + JUS + SUBJ:1P
fln	falonu	IVPref-nHn-linu_jus	and/so + let + us	CONJ + JUS + SUBJ:1P
